Open DHCP Server Version 1.64 Windows Build 1041

[05-May-17 10:29:39] No Matching DHCP Range for DHCPDISCOVER for 40:16:9f:51:e3:23 (rcher_VR600) from interface 192.168.0.3
[05-May-17 10:29:39] No Matching DHCP Range for DHCPDISCOVER for 40:16:9f:51:e3:23 (rcher_VR600) from interface 192.168.202.20
[05-May-17 10:29:39] No Matching DHCP Range for DHCPDISCOVER for 40:16:9f:51:e3:23 (rcher_VR600) from interface 192.168.10.10
[05-May-17 10:29:39] No Matching DHCP Range for DHCPDISCOVER for 40:16:9f:51:e3:23 (rcher_VR600) from interface 192.168.100.66
[05-May-17 10:29:39] No Matching DHCP Range for DHCPDISCOVER for 40:16:9f:51:e3:23 (rcher_VR600) from interface 192.168.1.10
[05-May-17 10:29:39] No Matching DHCP Range for DHCPDISCOVER for 40:16:9f:51:e3:23 (rcher_VR600) from interface 192.168.8.10
[05-May-17 10:29:39] Host 40:16:9f:51:e3:23 (rcher_VR600) allotted 192.168.2.3 for 300 seconds
[05-May-17 10:31:52] IP Address 192.168.2.3 released by Host 40:16:9f:51:e3:23 ()
[05-May-17 10:37:55] Open DHCP Server Version 1.64 Windows Build 1041 Starting...
[05-May-17 10:37:55] Logging: Normal
[05-May-17 10:37:55] Warning: No IP Address for DHCP Static Host 00:ff:a4:0e:ef:99 specified
[05-May-17 10:37:55] DHCP Range: 192.168.2.2-192.168.2.254/255.255.255.0
[05-May-17 10:37:55] Server Name: wangyang
[05-May-17 10:37:55] Detecting Static Interfaces..
[05-May-17 10:37:55] Lease Status URL: http://127.0.0.1:6789
[05-May-17 10:37:55] Listening On: 192.168.0.3
[05-May-17 10:37:55] Listening On: 192.168.1.10
[05-May-17 10:37:55] Listening On: 192.168.2.20
[05-May-17 10:37:55] Listening On: 192.168.8.10
[05-May-17 10:37:55] Listening On: 192.168.10.10
[05-May-17 10:37:55] Listening On: 192.168.100.66
[05-May-17 10:37:55] Listening On: 192.168.202.20
[05-May-17 10:37:55] Listening On: 172.29.85.40
